UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	14
56	27
0	14
0	16
0	4
0	4
0	20
0	12
1	4
13	411
0	404
0	0
0	0
0	495
24	754
14	86
2	399
0	34
0	23
53	744
0	147
0	0
0	0
0	1
4	1
0	1
0	1
0	0
0	1
0	2
6	338
0	1
0	0
0	47
0	329
0	8
0	164
0	3
0	72
0	5
0	22
1	77
0	6
0	130
0	0
0	1
0	31
0	31
0	31
0	0
0	1
0	18
0	15
0	2
0	31
0	1
0	3
0	1
0	1
2	0
0	0
0	43
0	0
0	0
0	0
0	0
116	441
0	33
0	0
0	288
0	65
1	0
0	11
2	412
1	414
0	23
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
147	0
2	17
0	16
0	1
0	1
0	15
0	455
3513	617
0	12
0	6
0	0
0	0
0	0
0	16
0	17
0	18
0	1
0	9
0	9
0	16
0	0
0	3
0	9
0	1
0	0
1	1
0	3
0	1
0	1
0	1
0	2
0	0
0	0
0	0
0	0
4	17
0	1
0	1
0	4
0	1
0	8
1	8
0	1
0	4
0	1
0	1
1	17
0	1
0	0
2	0
0	1
0	1
0	2
0	1
0	2
0	1
0	4
0	0
0	1
0	0
0	3
0	0
0	0
0	2
0	0
0	0
35	26
0	0
0	4
0	3
0	9
0	10
0	19
0	8
6	159
1	33
0	6
0	13
0	26
9	170
0	28
0	28
0	0
0	93
0	15
1	0
0	0
0	0
0	0
0	1
0	0
0	1
0	6
0	5
0	4
0	2
0	6
0	1
0	1
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
0	245
1	62
117	62
0	0
0	0
0	0
0	0
0	27
0	9
0	24
0	6
0	0
0	0
0	0
16	15
0	15
0	0
0	0
0	0
0	0
2	0
0	0
1	180
0	31
22	180
0	12
0	0
2	3
0	3
0	0
0	0
0	0
298	144
0	31
0	72
2	85
1	0
0	0
0	0
1	0
0	21
0	2
5	22
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
26	202
0	202
0	22
0	22
0	0
0	0
0	0
0	0
0	0
41	134
17	134
0	0
0	1
0	1
0	1
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
19	297
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	409
0	19
0	8
118	405
0	15
0	32
0	0
0	0
0	0
